Topic,Count,Name,Representation,Representative_Docs
-1,10199,-1_the_to_and_my,"['the', 'to', 'and', 'my', 'that', 'was', 'chase', 'of', 'in', 'on']",
0,1774,0_check_the_account_my,"['check', 'the', 'account', 'my', 'and', 'to', 'was', 'bank', 'that', 'me']",
1,692,1_fees_overdraft_fee_account,"['fees', 'overdraft', 'fee', 'account', '3400', 'the', 'my account', 'to', 'overdraft fees', 'charged']",
2,687,2_points_card_offer_the,"['points', 'card', 'offer', 'the', 'bonus', 'annual', 'for', 'fee', 'annual fee', 'to']",
3,544,3_inquiry_inquiries_credit_my credit,"['inquiry', 'inquiries', 'credit', 'my credit', 'hard', 'report', 'credit report', 'hard inquiry', 'my', 'on my']",
4,338,4_modification_loan_mortgage_we,"['modification', 'loan', 'mortgage', 'we', 'to', 'and', 'the', 'my', 'for', 'home']",
5,310,5_flight_dispute_the_refund,"['flight', 'dispute', 'the', 'refund', 'to', 'chase', 'on', 'that', 'merchant', 'and']",
6,296,6_interest_balance_statement_paid,"['interest', 'balance', 'statement', 'paid', 'the', 'payment', 'the balance', 'purchases', 'full', 'on']",
7,275,7_amazon_card_credit_chase,"['amazon', 'card', 'credit', 'chase', 'the', 'credit card', 'to', 'my', 'and', 'that']",
8,273,8_credit_closed_accounts_card,"['credit', 'closed', 'accounts', 'card', 'cards', 'my', 'credit card', 'chase', 'my credit', 'credit cards']",
9,235,9_money_tickets_the_to,"['money', 'tickets', 'the', 'to', 'and', 'was', 'quickpay', 'they', 'he', 'the money']",
10,228,10_loan_rate_we_closing,"['loan', 'rate', 'we', 'closing', 'the', 'refinance', 'to', 'the loan', 'mortgage', 'and']",
11,204,11_payment_payments_mortgage_to,"['payment', 'payments', 'mortgage', 'to', 'my', 'the', 'chase', 'and', 'on', 'of']",
12,181,12_atm_the atm_machine_deposit,"['atm', 'the atm', 'machine', 'deposit', 'the', 'cash', 'money', 'to', 'and', 'the machine']",
13,176,13_bonus_coupon_account_deposit,"['bonus', 'coupon', 'account', 'deposit', 'direct', 'direct deposit', 'checking', 'the', 'the coupon', 'code']",
14,168,14_of_mortgage_jp_morgan,"['of', 'mortgage', 'jp', 'morgan', 'jp morgan', 'the', 'morgan chase', 'and', 'in', 'to']",
15,162,15_debt_me_the debt_he,"['debt', 'me', 'the debt', 'he', 'they', 'and', 'court', 'was', 'to', 'of']",
16,157,16_credit_my_identity_to,"['credit', 'my', 'identity', 'to', 'and', 'card', 'that', 'application', 'the', 'of']",
17,157,17_escrow_taxes_escrow account_mortgage,"['escrow', 'taxes', 'escrow account', 'mortgage', 'my escrow', 'payment', 'tax', 'property', 'the escrow', 'chase']",
18,156,18_wire_the wire_wire transfer_transfer,"['wire', 'the wire', 'wire transfer', 'transfer', 'bank', 'the', 'to', 'money', 'was', 'chase']",
19,156,19_limit_credit_my credit_credit limit,"['limit', 'credit', 'my credit', 'credit limit', 'my', 'score', 'credit score', 'card', 'to', 'and']",
20,149,20_the_item_dispute_return,"['the', 'item', 'dispute', 'return', 'package', 'merchant', 'to', 'and', 'that', 'was']",
21,134,21_jpmcb_jpmcb card_credit_my credit,"['jpmcb', 'jpmcb card', 'credit', 'my credit', 'card service', 'account', 'this account', 'this', 'card', 'report']",
22,128,22_rate_apr_interest_interest rate,"['rate', 'apr', 'interest', 'interest rate', 'increase', 'card', 'rates', 'is', 'credit', 'to']",
23,126,23_sale_short sale_short_we,"['sale', 'short sale', 'short', 'we', 'the short', 'approval', 'the', 'buyer', 'home', 'to']",
24,126,24_credit_card_application_credit card,"['credit', 'card', 'application', 'credit card', 'cards', 'for', 'applied', 'score', 'chase', 'credit cards']",
25,121,25_insurance_escrow_to_the,"['insurance', 'escrow', 'to', 'the', 'my insurance', 'they', 'my', 'and', 'flood', 'mortgage']",
